epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,405.608,1.20563,1.93617,1.45574,0.59874,0.50623,0.55582,0.26574,1.52546,2.38073,1.68343,0.000549129,0.000549129,0.000549129
2,656.214,1.24976,1.47333,1.48731,0.61592,0.4871,0.53482,0.3055,1.47553,2.07373,1.6509,0.00106834,0.00106834,0.00106834
3,898.328,1.26866,1.43214,1.50349,0.60491,0.50135,0.50687,0.26427,1.66893,1.93054,2.02048,0.00155087,0.00155087,0.00155087
4,1139.76,1.24184,1.32672,1.47987,0.65794,0.62155,0.6436,0.36758,1.4457,1.54499,1.63785,0.00150197,0.00150197,0.00150197
5,1399.86,1.23362,1.27738,1.48925,0.72111,0.60973,0.66474,0.38418,1.48208,1.41998,1.60066,0.00144696,0.00144696,0.00144696
6,1810.17,1.18471,1.1765,1.42952,0.69894,0.67534,0.69767,0.41294,1.39739,1.36316,1.5841,0.00139195,0.00139195,0.00139195
7,2429.01,1.15635,1.12888,1.42422,0.72305,0.64511,0.69179,0.36703,1.53864,1.38793,1.64187,0.00133693,0.00133693,0.00133693
8,2671.68,1.1351,1.08687,1.40123,0.76581,0.68617,0.70035,0.40959,1.45459,1.3022,1.64261,0.00128192,0.00128192,0.00128192
9,2913.57,1.11003,1.06983,1.37656,0.75068,0.68448,0.71432,0.43757,1.30383,1.21762,1.53337,0.00122691,0.00122691,0.00122691
10,3155.06,1.09378,1.03308,1.37219,0.73485,0.72322,0.74908,0.46291,1.28634,1.14407,1.45991,0.0011719,0.0011719,0.0011719
11,3396.56,1.06049,0.9904,1.35154,0.8207,0.70004,0.76464,0.46801,1.3945,1.10551,1.53843,0.00111689,0.00111689,0.00111689
12,3638.95,1.04515,0.94773,1.34013,0.82097,0.70696,0.76989,0.4855,1.24292,1.06926,1.42131,0.00106188,0.00106188,0.00106188
13,3880.85,1.01975,0.95583,1.32335,0.73879,0.73843,0.77051,0.45498,1.37016,1.0849,1.54651,0.00100687,0.00100687,0.00100687
14,4122.73,1.01351,0.90851,1.31514,0.78837,0.72078,0.74237,0.46789,1.19631,1.07383,1.41433,0.000951857,0.000951857,0.000951857
15,4364.78,1.00329,0.88828,1.30475,0.79479,0.72018,0.7563,0.50857,1.16942,1.07104,1.38698,0.000896846,0.000896846,0.000896846
16,4606.13,0.97525,0.88006,1.28916,0.79792,0.69112,0.72921,0.42905,1.34913,1.24455,1.5138,0.000841835,0.000841835,0.000841835
17,4846.92,0.94153,0.81467,1.2655,0.85399,0.68455,0.76318,0.49118,1.2031,1.05347,1.40205,0.000786824,0.000786824,0.000786824
18,5093.29,0.95121,0.82307,1.25874,0.82168,0.7358,0.7895,0.52019,1.12125,0.90857,1.33901,0.000731813,0.000731813,0.000731813
19,5336.89,0.94351,0.82267,1.25895,0.82381,0.6802,0.7627,0.50759,1.10703,0.97414,1.3298,0.000676802,0.000676802,0.000676802
20,5577.36,0.92468,0.79732,1.25717,0.82771,0.7358,0.77998,0.52001,1.11435,0.88777,1.33336,0.000621791,0.000621791,0.000621791
21,6109.39,0.94037,0.76004,1.27625,0.81787,0.71879,0.76492,0.51546,1.15765,0.98084,1.3593,0.00056678,0.00056678,0.00056678
22,6347.43,0.90427,0.68437,1.23557,0.80032,0.73665,0.7694,0.5238,1.11597,0.96681,1.33305,0.000511769,0.000511769,0.000511769
23,6585.16,0.87591,0.66378,1.21918,0.8464,0.69046,0.77999,0.53451,1.0907,0.93437,1.3164,0.000456758,0.000456758,0.000456758
24,6903.33,0.85233,0.64158,1.2083,0.81535,0.72509,0.76354,0.52051,1.06624,0.92831,1.29688,0.000401747,0.000401747,0.000401747
25,7143.1,0.82951,0.61126,1.19024,0.83199,0.74274,0.7692,0.52399,1.07161,0.91552,1.29958,0.000346736,0.000346736,0.000346736
26,7381.43,0.81354,0.58753,1.16469,0.8315,0.73251,0.78078,0.53433,1.07387,0.91141,1.29751,0.000291725,0.000291725,0.000291725
27,7618.22,0.8022,0.57777,1.15991,0.80044,0.7393,0.75918,0.52425,1.06432,0.94092,1.30045,0.000236714,0.000236714,0.000236714
28,7854.68,0.777,0.55919,1.14743,0.82063,0.72893,0.76555,0.52729,1.06697,0.92883,1.30099,0.000181703,0.000181703,0.000181703
29,8091.35,0.76194,0.53543,1.14242,0.82191,0.73397,0.7686,0.53791,1.04053,0.92254,1.28262,0.000126692,0.000126692,0.000126692
30,8327.97,0.75003,0.52516,1.1221,0.82353,0.7259,0.77211,0.5322,1.03684,0.91144,1.28122,7.1681e-05,7.1681e-05,7.1681e-05
